divisor,cells_median,cells_p95,occupancy_mean,empty_ratio,collision_rate
8,2849.0,6999.30000000001,0.11739078710049172,0.8826092128995082,3.256023519865288e-06
12,4273.0,10498.450000000015,0.07826850691645706,0.921731493083543,1.236464627796945e-07
16,5697.0,13997.60000000002,0.0587040564993926,0.9412959435006074,4.121548759323149e-08
24,8545.0,20995.90000000003,0.03913789863332455,0.9608621013666755,0.0
48,17089.0,41990.80000000006,0.019569858524543144,0.9804301414754568,0.0
